track_id,group,source_url,license_type,downloaded_at,redistribution_allowed,notes
focus_jamendo_2019707,focus,https://www.jamendo.com/track/2019707,Creative Commons Attribution-Non-Commercial-No Derivatives license,2026-08-01,true,jamendo-api-open-focus; redistribution subject to per-track CC terms (attribution and NC/ND/SA where applicable); license URL: http://creativecommons.org/licenses/by-nc-nd/3.0/
focus_jamendo_1983242,focus,https://www.jamendo.com/track/1983242,Creative Commons Attribution-Non-Commercial-No Derivatives license,2026-08-01,true,jamendo-api-open-focus; redistribution subject to per-track CC terms (attribution and NC/ND/SA where applicable); license URL: http://creativecommons.org/licenses/by-nc-nd/3.0/
focus_jamendo_2266423,focus,https://www.jamendo.com/track/2266423,Creative Commons Attribution-Non-Commercial-No Derivatives license,2026-08-01,true,jamendo-api-open-focus; redistribution subject to per-track CC terms (attribution and NC/ND/SA where applicable); license URL: http://creativecommons.org/licenses/by-nc-nd/3.0/
focus_jamendo_2208659,focus,https://www.jamendo.com/track/2208659,Creative Commons Attribution-Non-Commercial-No Derivatives license,2026-08-01,true,jamendo-api-open-focus; redistribution subject to per-track CC terms (attribution and NC/ND/SA where applicable); license URL: http://creativecommons.org/licenses/by-nc-nd/3.0/
focus_jamendo_2022629,focus,https://www.jamendo.com/track/2022629,Creative Commons Attribution-Non-Commercial-No Derivatives license,2026-08-01,true,jamendo-api-open-focus; redistribution subject to per-track CC terms (attribution and NC/ND/SA where applicable); license URL: http://creativecommons.org/licenses/by-nc-nd/3.0/
focus_jamendo_2234790,focus,https://www.jamendo.com/track/2234790,Creative Commons Attribution-Non-Commercial-No Derivatives license,2026-08-01,true,jamendo-api-open-focus; redistribution subject to per-track CC terms (attribution and NC/ND/SA where applicable); license URL: http://creativecommons.org/licenses/by-nc-nd/3.0/
focus_jamendo_2209988,focus,https://www.jamendo.com/track/2209988,Creative Commons Attribution-Non-Commercial-No Derivatives license,2026-08-01,true,jamendo-api-open-focus; redistribution subject to per-track CC terms (attribution and NC/ND/SA where applicable); license URL: http://creativecommons.org/licenses/by-nc-nd/3.0/
focus_jamendo_2060537,focus,https://www.jamendo.com/track/2060537,Creative Commons Attribution-Non-Commercial-No Derivatives license,2026-08-01,true,jamendo-api-open-focus; redistribution subject to per-track CC terms (attribution and NC/ND/SA where applicable); license URL: http://creativecommons.org/licenses/by-nc-nd/3.0/
focus_jamendo_1685030,focus,https://www.jamendo.com/track/1685030,Creative Commons Attribution-Non-Commercial-No Derivatives license,2026-08-01,true,jamendo-api-open-focus; redistribution subject to per-track CC terms (attribution and NC/ND/SA where applicable); license URL: http://creativecommons.org/licenses/by-nc-nd/3.0/
focus_jamendo_1797025,focus,https://www.jamendo.com/track/1797025,Creative Commons Attribution-Non-Commercial-No Derivatives license,2026-08-01,true,jamendo-api-open-focus; redistribution subject to per-track CC terms (attribution and NC/ND/SA where applicable); license URL: http://creativecommons.org/licenses/by-nc-nd/3.0/
focus_jamendo_2255191,focus,https://www.jamendo.com/track/2255191,Creative Commons Attribution-Non-Commercial-No Derivatives license,2026-08-01,true,jamendo-api-open-focus; redistribution subject to per-track CC terms (attribution and NC/ND/SA where applicable); license URL: http://creativecommons.org/licenses/by-nc-nd/3.0/
focus_jamendo_1785989,focus,https://www.jamendo.com/track/1785989,Creative Commons Attribution-Non-Commercial-No Derivatives license,2026-08-01,true,jamendo-api-open-focus; redistribution subject to per-track CC terms (attribution and NC/ND/SA where applicable); license URL: http://creativecommons.org/licenses/by-nc-nd/3.0/
focus_jamendo_2160682,focus,https://www.jamendo.com/track/2160682,Creative Commons Attribution-Non-Commercial-No Derivatives license,2026-08-01,true,jamendo-api-open-focus; redistribution subject to per-track CC terms (attribution and NC/ND/SA where applicable); license URL: http://creativecommons.org/licenses/by-nc-nd/3.0/
focus_jamendo_1056129,focus,https://www.jamendo.com/track/1056129,Creative Commons Attribution-Non-Commercial-Share-Alike license,2026-08-01,true,jamendo-api-open-focus; redistribution subject to per-track CC terms (attribution and NC/ND/SA where applicable); license URL: http://creativecommons.org/licenses/by-nc-sa/3.0/
focus_jamendo_1621763,focus,https://www.jamendo.com/track/1621763,Creative Commons Attribution-Non-Commercial-No Derivatives license,2026-08-01,true,jamendo-api-open-focus; redistribution subject to per-track CC terms (attribution and NC/ND/SA where applicable); license URL: http://creativecommons.org/licenses/by-nc-nd/3.0/
focus_jamendo_1357893,focus,https://www.jamendo.com/track/1357893,Creative Commons Attribution-Non-Commercial-No Derivatives license,2026-08-01,true,jamendo-api-open-focus; redistribution subject to per-track CC terms (attribution and NC/ND/SA where applicable); license URL: http://creativecommons.org/licenses/by-nc-nd/3.0/
focus_jamendo_1522335,focus,https://www.jamendo.com/track/1522335,Creative Commons Attribution-Non-Commercial-No Derivatives license,2026-08-01,true,jamendo-api-open-focus; redistribution subject to per-track CC terms (attribution and NC/ND/SA where applicable); license URL: http://creativecommons.org/licenses/by-nc-nd/3.0/
focus_jamendo_1522321,focus,https://www.jamendo.com/track/1522321,Creative Commons Attribution-Non-Commercial-No Derivatives license,2026-08-01,true,jamendo-api-open-focus; redistribution subject to per-track CC terms (attribution and NC/ND/SA where applicable); license URL: http://creativecommons.org/licenses/by-nc-nd/3.0/
focus_jamendo_1798108,focus,https://www.jamendo.com/track/1798108,Creative Commons Attribution-Non-Commercial-No Derivatives license,2026-08-01,true,jamendo-api-open-focus; redistribution subject to per-track CC terms (attribution and NC/ND/SA where applicable); license URL: http://creativecommons.org/licenses/by-nc-nd/3.0/
focus_jamendo_1842470,focus,https://www.jamendo.com/track/1842470,Creative Commons Attribution-Non-Commercial-No Derivatives license,2026-08-01,true,jamendo-api-open-focus; redistribution subject to per-track CC terms (attribution and NC/ND/SA where applicable); license URL: http://creativecommons.org/licenses/by-nc-nd/3.0/
focus_jamendo_2165080,focus,https://www.jamendo.com/track/2165080,Creative Commons Attribution-Non-Commercial-No Derivatives license,2026-08-01,true,jamendo-api-open-focus; redistribution subject to per-track CC terms (attribution and NC/ND/SA where applicable); license URL: http://creativecommons.org/licenses/by-nc-nd/3.0/
focus_jamendo_1900437,focus,https://www.jamendo.com/track/1900437,Creative Commons Attribution-Non-Commercial-No Derivatives license,2026-08-01,true,jamendo-api-open-focus; redistribution subject to per-track CC terms (attribution and NC/ND/SA where applicable); license URL: http://creativecommons.org/licenses/by-nc-nd/3.0/
focus_jamendo_1522332,focus,https://www.jamendo.com/track/1522332,Creative Commons Attribution-Non-Commercial-No Derivatives license,2026-08-01,true,jamendo-api-open-focus; redistribution subject to per-track CC terms (attribution and NC/ND/SA where applicable); license URL: http://creativecommons.org/licenses/by-nc-nd/3.0/
focus_jamendo_1900645,focus,https://www.jamendo.com/track/1900645,Creative Commons Attribution-Non-Commercial-No Derivatives license,2026-08-01,true,jamendo-api-open-focus; redistribution subject to per-track CC terms (attribution and NC/ND/SA where applicable); license URL: http://creativecommons.org/licenses/by-nc-nd/3.0/
focus_jamendo_1906117,focus,https://www.jamendo.com/track/1906117,Creative Commons Attribution-Non-Commercial license,2026-08-01,true,jamendo-api-open-focus; redistribution subject to per-track CC terms (attribution and NC/ND/SA where applicable); license URL: http://creativecommons.org/licenses/by-nc/3.0/
focus_jamendo_1867616,focus,https://www.jamendo.com/track/1867616,Creative Commons Attribution-Non-Commercial-No Derivatives license,2026-08-01,true,jamendo-api-open-focus; redistribution subject to per-track CC terms (attribution and NC/ND/SA where applicable); license URL: http://creativecommons.org/licenses/by-nc-nd/3.0/
focus_jamendo_1900439,focus,https://www.jamendo.com/track/1900439,Creative Commons Attribution-Non-Commercial-No Derivatives license,2026-08-01,true,jamendo-api-open-focus; redistribution subject to per-track CC terms (attribution and NC/ND/SA where applicable); license URL: http://creativecommons.org/licenses/by-nc-nd/3.0/
focus_jamendo_1868402,focus,https://www.jamendo.com/track/1868402,Creative Commons Attribution-Non-Commercial-Share-Alike license,2026-08-01,true,jamendo-api-open-focus; redistribution subject to per-track CC terms (attribution and NC/ND/SA where applicable); license URL: http://creativecommons.org/licenses/by-nc-sa/3.0/
focus_jamendo_2160158,focus,https://www.jamendo.com/track/2160158,Creative Commons Attribution-Non-Commercial-No Derivatives license,2026-08-01,true,jamendo-api-open-focus; redistribution subject to per-track CC terms (attribution and NC/ND/SA where applicable); license URL: http://creativecommons.org/licenses/by-nc-nd/3.0/
focus_jamendo_1832577,focus,https://www.jamendo.com/track/1832577,Creative Commons Attribution-Non-Commercial-No Derivatives license,2026-08-01,true,jamendo-api-open-focus; redistribution subject to per-track CC terms (attribution and NC/ND/SA where applicable); license URL: http://creativecommons.org/licenses/by-nc-nd/3.0/
focus_jamendo_1560365,focus,https://www.jamendo.com/track/1560365,Creative Commons Attribution-Non-Commercial license,2026-08-01,true,jamendo-api-open-focus; redistribution subject to per-track CC terms (attribution and NC/ND/SA where applicable); license URL: http://creativecommons.org/licenses/by-nc/3.0/
focus_jamendo_1816033,focus,https://www.jamendo.com/track/1816033,Creative Commons Attribution-Non-Commercial-No Derivatives license,2026-08-01,true,jamendo-api-open-focus; redistribution subject to per-track CC terms (attribution and NC/ND/SA where applicable); license URL: http://creativecommons.org/licenses/by-nc-nd/3.0/
focus_jamendo_1677809,focus,https://www.jamendo.com/track/1677809,Creative Commons Attribution-Non-Commercial-No Derivatives license,2026-08-01,true,jamendo-api-open-focus; redistribution subject to per-track CC terms (attribution and NC/ND/SA where applicable); license URL: http://creativecommons.org/licenses/by-nc-nd/3.0/
focus_jamendo_1161853,focus,https://www.jamendo.com/track/1161853,Creative Commons Attribution-Non-Commercial-Share-Alike license,2026-08-01,true,jamendo-api-open-focus; redistribution subject to per-track CC terms (attribution and NC/ND/SA where applicable); license URL: http://creativecommons.org/licenses/by-nc-sa/3.0/
focus_jamendo_1979493,focus,https://www.jamendo.com/track/1979493,Creative Commons Attribution license,2026-08-01,true,jamendo-api-open-focus; redistribution subject to per-track CC terms (attribution and NC/ND/SA where applicable); license URL: http://creativecommons.org/licenses/by/3.0/
focus_jamendo_0016398,focus,https://www.jamendo.com/track/16398,Creative Commons Attribution-Non-Commercial-Share-Alike license,2026-08-01,true,jamendo-api-open-focus; redistribution subject to per-track CC terms (attribution and NC/ND/SA where applicable); license URL: http://creativecommons.org/licenses/by-nc-sa/2.0/fr/
focus_jamendo_1522319,focus,https://www.jamendo.com/track/1522319,Creative Commons Attribution-Non-Commercial-No Derivatives license,2026-08-01,true,jamendo-api-open-focus; redistribution subject to per-track CC terms (attribution and NC/ND/SA where applicable); license URL: http://creativecommons.org/licenses/by-nc-nd/3.0/
focus_jamendo_1056135,focus,https://www.jamendo.com/track/1056135,Creative Commons Attribution-Non-Commercial-Share-Alike license,2026-08-01,true,jamendo-api-open-focus; redistribution subject to per-track CC terms (attribution and NC/ND/SA where applicable); license URL: http://creativecommons.org/licenses/by-nc-sa/3.0/
focus_jamendo_1302666,focus,https://www.jamendo.com/track/1302666,Creative Commons Attribution-Non-Commercial-No Derivatives license,2026-08-01,true,jamendo-api-open-focus; redistribution subject to per-track CC terms (attribution and NC/ND/SA where applicable); license URL: http://creativecommons.org/licenses/by-nc-nd/3.0/
focus_jamendo_1987334,focus,https://www.jamendo.com/track/1987334,Creative Commons Attribution-Non-Commercial-No Derivatives license,2026-08-01,true,jamendo-api-open-focus; redistribution subject to per-track CC terms (attribution and NC/ND/SA where applicable); license URL: http://creativecommons.org/licenses/by-nc-nd/3.0/
focus_jamendo_1677808,focus,https://www.jamendo.com/track/1677808,Creative Commons Attribution-Non-Commercial-No Derivatives license,2026-08-01,true,jamendo-api-open-focus; redistribution subject to per-track CC terms (attribution and NC/ND/SA where applicable); license URL: http://creativecommons.org/licenses/by-nc-nd/3.0/
