track_id,group,relative_path,sha256,duration_seconds,sample_rate,channels,artist_key,album_key,composer_key,instrumental,restricted
focus_jamendo_1081643,focus,focus_music/focus_jamendo_1081643.mp3,9282c3910305673c955ab4ab28b926fa2a8affda24df4f859f2fee2a239362dc,232.000,44100,2,jamendo_artist_439190,jamendo_album_128863,,true,false
focus_jamendo_1027427,focus,focus_music/focus_jamendo_1027427.mp3,f8e16d768fbf261da0340d233ed9ce871a48f119cb734877dd84455acf6f6c87,264.072,44100,2,jamendo_artist_432967,jamendo_album_120815,,true,false
focus_jamendo_1089784,focus,focus_music/focus_jamendo_1089784.mp3,fb64c9955f412c0ac8b9d4c901b5f293e90bb1c867afa42a6cb7f609f8f3447a,165.000,44100,2,jamendo_artist_434538,jamendo_album_129890,,true,false
focus_jamendo_1906544,focus,focus_music/focus_jamendo_1906544.mp3,20c6d24fe67f97de0b0fdd2e8fd7381edc8c6ec09317fdeda5412015d326b30d,396.000,44100,2,jamendo_artist_528815,jamendo_album_465310,,true,false
focus_jamendo_2200501,focus,focus_music/focus_jamendo_2200501.mp3,b6f737495745fe8c5a05390e8f9011eb2803360d42380a41fc03826c5a0dbbc8,201.665,44100,2,jamendo_artist_546016,jamendo_album_578591,,true,false
focus_jamendo_1823875,focus,focus_music/focus_jamendo_1823875.mp3,c07e08cce7c9d940590d59b3512732ea2454a648411be274550502cf079f8980,776.000,44100,2,jamendo_artist_498010,jamendo_album_413617,,true,false
focus_jamendo_1963475,focus,focus_music/focus_jamendo_1963475.mp3,9ea4c0cf3d448e054feabcafb40a9cd2a1b655d7335e1988e21dee9e38dd60c1,181.000,44100,2,jamendo_artist_536209,jamendo_album_490655,,true,false
focus_jamendo_1823902,focus,focus_music/focus_jamendo_1823902.mp3,5d90c604364a075cc709b1062b9efafbc0cb8d0d63118d426caff1ecdb1b4287,926.459,44100,2,jamendo_artist_498010,jamendo_album_414229,,true,false
focus_jamendo_1953401,focus,focus_music/focus_jamendo_1953401.mp3,2022c887fda3cd76e565d74812a0da17559f720a381f9199813ac4560230b2cc,502.000,44100,2,jamendo_artist_522042,jamendo_album_486643,,true,false
focus_jamendo_2039456,focus,focus_music/focus_jamendo_2039456.mp3,e43ac799408e2f37c1e8c67dd56d79c118d86889dcc2c562d65551a9023649ed,336.000,44100,2,jamendo_artist_559588,jamendo_album_524781,,true,false
focus_jamendo_2035379,focus,focus_music/focus_jamendo_2035379.mp3,2e1b1bcebefd3bbefd31ce0dd8fa2cbaaf3c8edb6fd0e6f2830e65b4fbcc5edd,185.000,44100,2,jamendo_artist_522042,jamendo_album_522669,,true,false
focus_jamendo_1967111,focus,focus_music/focus_jamendo_1967111.mp3,20625a7574bcf503b4ae81288e942a2385713359815098b45f0ca6f695ce016c,254.000,44100,2,jamendo_artist_516768,jamendo_album_492737,,true,false
focus_jamendo_2035939,focus,focus_music/focus_jamendo_2035939.mp3,66aa20fefff7be80f6bbdc2eecea4ab6874b984df1a561ba78a8f295f12e82b2,427.000,44100,2,jamendo_artist_488420,jamendo_album_522945,,true,false
focus_jamendo_1798830,focus,focus_music/focus_jamendo_1798830.mp3,314616f8907fe8af5ec771be68105729f1936ebb38452a5f275aa2370182d75d,891.063,44100,2,jamendo_artist_498010,jamendo_album_412412,,true,false
focus_jamendo_1890497,focus,focus_music/focus_jamendo_1890497.mp3,767bccb7ee0249a4efa3dd30eb32f98bcfc856b9bcbfa4ea920dc004341f7cda,331.000,44100,2,jamendo_artist_487189,jamendo_album_457508,,true,false
focus_jamendo_2178866,focus,focus_music/focus_jamendo_2178866.mp3,ccd6d4143e32ab3b538db8203b67bfc45bc120bf351239eacaf8bf68720aee73,207.909,44100,2,jamendo_artist_522843,jamendo_album_569301,,true,false
focus_jamendo_2039515,focus,focus_music/focus_jamendo_2039515.mp3,52e93db817fdcd699364a6ada2bc0cb0cdea92b38872951651ef0dba488a9ee4,333.000,44100,2,jamendo_artist_559588,jamendo_album_524803,,true,false
focus_jamendo_1894851,focus,focus_music/focus_jamendo_1894851.mp3,e45daf007dae6bee8b0c2257753e5960646eea7b773e27280902b14a38631e1f,299.000,44100,2,jamendo_artist_531308,jamendo_album_459491,,true,false
focus_jamendo_2203332,focus,focus_music/focus_jamendo_2203332.mp3,0ac90c4b59fda0de406a70dc0872a6533c2ebee86bb51effee92207f6d5bae15,595.775,44100,2,jamendo_artist_489261,jamendo_album_579613,,true,false
focus_jamendo_1956108,focus,focus_music/focus_jamendo_1956108.mp3,752c755eed5e82f318d880125829413ec23fa922727b5cb7f11ebc1edb65b477,599.000,44100,2,jamendo_artist_522042,jamendo_album_487764,,true,false
focus_jamendo_2039520,focus,focus_music/focus_jamendo_2039520.mp3,d7d59f213066ad215d0d913f439597571514f38b162ad9968b22c97a88e32ae4,437.000,44100,2,jamendo_artist_559588,jamendo_album_524799,,true,false
focus_jamendo_1932519,focus,focus_music/focus_jamendo_1932519.mp3,8801ad4350b6ed760f9782d1496552d30bea1599b03b1eed2d5c2d793776d8a2,600.000,44100,2,jamendo_artist_475631,jamendo_album_477233,,true,false
focus_jamendo_1983056,focus,focus_music/focus_jamendo_1983056.mp3,771b05b81182cf42d0a2e88133d31080c8a908ade847a66ef13fdf487a6c8e45,222.000,44100,2,jamendo_artist_549225,jamendo_album_501176,,true,false
focus_jamendo_2026945,focus,focus_music/focus_jamendo_2026945.mp3,726676293bc557430e8e28660eeb4dc0e1aac41bba48228545b08d0eec1f2a8b,582.060,44100,2,jamendo_artist_498010,jamendo_album_518820,,true,false
focus_jamendo_2201166,focus,focus_music/focus_jamendo_2201166.mp3,10c28cbd05c8af39f369c55cd6996d90852e6d8de6ddd08b0c67dff7e24e596a,600.059,44100,2,jamendo_artist_489261,jamendo_album_578907,,true,false
focus_jamendo_1935873,focus,focus_music/focus_jamendo_1935873.mp3,183354217561378006194560021297f489468107c778f1f76e3fda961bb15bab,194.000,44100,2,jamendo_artist_536209,jamendo_album_478780,,true,false
focus_jamendo_2235775,focus,focus_music/focus_jamendo_2235775.mp3,e1882e073388aafac809c340774df0a99a47073b74d5ae62ebbbf60f0cd30ca3,249.652,44100,2,jamendo_artist_595802,jamendo_album_595060,,true,false
focus_jamendo_1983051,focus,focus_music/focus_jamendo_1983051.mp3,0a06eab0b62698f37ef5dfd9e5b50cdc56c4473e4db0fe6c98c61938e4ca1706,221.000,44100,2,jamendo_artist_549225,jamendo_album_501176,,true,false
focus_jamendo_2207645,focus,focus_music/focus_jamendo_2207645.mp3,fd6e858a233dbeb18536d356a69a85417c8cf541d3c4788ed9a4a864ddf630ae,248.633,44100,2,jamendo_artist_341323,jamendo_album_581538,,true,false
focus_jamendo_1890389,focus,focus_music/focus_jamendo_1890389.mp3,63bfd8e8d61a948d0068c184281bc534de3f04b0545134bec73d3d6b4f42a2c8,1084.000,44100,2,jamendo_artist_487189,jamendo_album_457462,,true,false
focus_jamendo_1926373,focus,focus_music/focus_jamendo_1926373.mp3,b9a64c381c3200d6db1343f3dabb6b817fb8839c5cdfcf4ebc85c83e4877ab6e,195.000,44100,2,jamendo_artist_522843,jamendo_album_474752,,true,false
focus_jamendo_2042978,focus,focus_music/focus_jamendo_2042978.mp3,0d38395274ed45087fdd7539dcf31685eb8f8d443dad116daa608f1e21b77db9,500.000,44100,2,jamendo_artist_488420,jamendo_album_526475,,true,false
focus_jamendo_1890394,focus,focus_music/focus_jamendo_1890394.mp3,4f63836a082851d6bc56d6d8c349ad54348b8563e7be55bfa9db1bf158ca93b0,336.000,44100,2,jamendo_artist_487189,jamendo_album_457462,,true,false
focus_jamendo_1761112,focus,focus_music/focus_jamendo_1761112.mp3,ef77612ab44823a550d6909e531bac5a1f173232ca2b51c7e06c1ec0b7b32d77,314.000,44100,2,jamendo_artist_487475,jamendo_album_334051,,true,false
focus_jamendo_1967104,focus,focus_music/focus_jamendo_1967104.mp3,39e260b2e1bd257d27697882bd69bed69df86a88322beb4cb75a21352e08da0e,364.408,44100,2,jamendo_artist_516768,jamendo_album_492737,,true,false
focus_jamendo_1744930,focus,focus_music/focus_jamendo_1744930.mp3,9af355bed96a4548fbf16b99e5fec8ed8ca36d6ff61a00bde57a7ecc23c1d601,376.059,44100,2,jamendo_artist_354509,jamendo_album_192290,,true,false
focus_jamendo_1985293,focus,focus_music/focus_jamendo_1985293.mp3,c06cce1c19dd9f774eda4bfe4f2d47d9f76337e17a32a42daf71b1acfd3b066e,318.433,44100,2,jamendo_artist_516768,jamendo_album_502190,,true,false
focus_jamendo_1935877,focus,focus_music/focus_jamendo_1935877.mp3,1a032aebc630410f811ed6b61351067b309cd2dccec0698d6ac44262f4ed568d,264.072,44100,2,jamendo_artist_536209,jamendo_album_478780,,true,false
