state_similarity,representation,effect_180,p_180,effect_300,p_300,scale_spearman
0.4,phase_state_acoustic__h1_max_lifetime,0.13888888888888884,0.20661073861557533,0.22048611111111116,0.0966505878370344,0.01048707342390863
0.4,phase_state_acoustic__h1_dominant_persistence,0.18402777777777768,0.1394624855736809,0.23784722222222232,0.08039749777555127,0.13449177479150448
0.4,phase_state_acoustic__h1_normalized_auc,0.11111111111111116,0.2579957727150668,0.3993055555555556,0.009112514328793255,0.29406373608972064
0.4,phase_state_rhythm__h1_max_lifetime,-0.07638888888888884,0.6799272563660944,-0.10763888888888884,0.7423638179880425,0.1549481603981421
0.4,phase_state_rhythm__h1_dominant_persistence,0.01909722222222232,0.458902462882618,-0.07986111111111116,0.6860624096942455,0.15016096141836136
0.4,phase_state_rhythm__h1_normalized_auc,-0.17013888888888884,0.8462952566259175,0.21180555555555558,0.10610292710270297,0.1218918071573046
0.55,phase_state_acoustic__h1_max_lifetime,-0.2152777777777778,0.9033773584219806,-0.4288194444444444,0.9951358434818345,0.41678617048932826
0.55,phase_state_acoustic__h1_dominant_persistence,0.01041666666666674,0.4794439764227221,-0.17013888888888884,0.8462952566259175,0.599799019213763
0.55,phase_state_acoustic__h1_normalized_auc,-0.20833333333333337,0.8938908697714528,-0.35763888888888884,0.9835840945504812,0.5140523506334813
0.55,phase_state_rhythm__h1_max_lifetime,-0.1527777777777778,0.8217987161983158,0.22569444444444442,0.08945440066694282,0.3356602189153831
0.55,phase_state_rhythm__h1_dominant_persistence,0.03298611111111116,0.4263863209237,0.26736111111111116,0.05735136519127942,0.5136747327619512
0.55,phase_state_rhythm__h1_normalized_auc,-0.2465277777777778,0.9298002756326087,-0.03125,0.577650575671791,0.4231461830342788
0.7,phase_state_acoustic__h1_max_lifetime,-0.3055555555555556,0.9673082764582152,-0.5121527777777778,0.9989608750268414,0.477880346907067
0.7,phase_state_acoustic__h1_dominant_persistence,0.07291666666666674,0.3362560286235673,-0.10763888888888884,0.7419985322782068,0.6501704289664931
0.7,phase_state_acoustic__h1_normalized_auc,-0.30208333333333337,0.9644015553623742,-0.42013888888888884,0.9938824100239019,0.5680751173708921
0.7,phase_state_rhythm__h1_max_lifetime,-0.20138888888888884,0.8872221356707689,0.06944444444444442,0.34247753490033617,0.41040879546912334
0.7,phase_state_rhythm__h1_dominant_persistence,-0.02430555555555558,0.5614503476089248,0.15625,0.17942082738016757,0.42038411140427984
0.7,phase_state_rhythm__h1_normalized_auc,-0.3368055555555556,0.9778064168971501,-0.1875,0.8694449190936021,0.4357836516817802
