group,segment_id,track_id,split,scale_seconds,robust_medoid_distance,vertex_count,edge_count,edge_density,self_transition_ratio,path_entropy,directed_recurrence,reciprocity,h0_betti_mean,h1_betti_max,feature_relative_path,graph_relative_path,sensitivity_persistence_relative_path
classical,classical_musopen_9e03803778c4__180s,classical_musopen_9e03803778c4,validation,180.0,0.18838008198180753,2,2,1.0,0.3333333333333333,0.4620981203732968,0.3333333333333333,1.0,1.0,0,features/structure/180s/classical/validation/classical_musopen_9e03803778c4__180s.npz,graphs/structure/180s/classical/validation/classical_musopen_9e03803778c4__180s.npz,homology/persistence_sensitivity/structure/180s/classical/validation/classical_musopen_9e03803778c4__180s.npz
focus,focus_jamendo_1156386__180s,focus_jamendo_1156386,validation,180.0,0.43162525876078905,3,2,0.3333333333333333,0.7142857142857143,0.1980420515885557,0.3877551020408163,0.0,1.0,0,features/structure/180s/focus/validation/focus_jamendo_1156386__180s.npz,graphs/structure/180s/focus/validation/focus_jamendo_1156386__180s.npz,homology/persistence_sensitivity/structure/180s/focus/validation/focus_jamendo_1156386__180s.npz
