split,scale_seconds,group,n_total,n_core_complete,core_distance_q25,core_distance_median,core_distance_q75,core_inside_r90_rate,support_band_loss_median,support_zero_loss_rate
discovery,180.0,classical,195,194,1.0296491215924426,1.4357599514942374,1.9681666704087426,0.9432989690721649,6.887283276045873,0.005128205128205128
discovery,180.0,focus,195,195,0.9510039121396758,1.397854604739387,2.195576245571954,0.8974358974358975,1.7395749949824882e-05,0.49743589743589745
discovery,300.0,classical,195,194,0.9838177409586035,1.330263106377425,1.9375768377569595,0.9432989690721649,8.731583629505915,0.0
discovery,300.0,focus,195,195,1.1309344303556732,1.7869062981014714,2.7761743628447544,0.8358974358974359,0.0,0.517948717948718
holdout,180.0,classical,45,45,0.7339120979668946,1.0405080517272902,1.4062134171005292,1.0,10.537829943861775,0.0
holdout,180.0,focus,45,45,1.1632305489142272,1.7270969775576857,2.681995065572936,0.8666666666666667,0.11395079219145988,0.35555555555555557
holdout,300.0,classical,45,45,0.7950620424266536,1.1050898087277412,1.3770280461759032,1.0,13.890898468445535,0.0
holdout,300.0,focus,45,45,0.98027905083484,1.4948113012339168,2.4713507636743044,0.8222222222222222,0.0787141474265843,0.28888888888888886
validation,180.0,classical,60,60,0.7358423630194482,0.8995596274386669,1.2132482552762596,1.0,9.021335414104367,0.0
validation,180.0,focus,60,60,1.1441395762978788,1.6596831578603712,2.3413723991987427,0.8833333333333333,0.014398164181997021,0.45
validation,300.0,classical,60,60,0.7021667071393858,0.8792285355312426,1.1787732056731977,1.0,13.610697866340345,0.0
validation,300.0,focus,60,60,1.1793444119259597,2.081284256890581,2.6030040718498975,0.8833333333333333,0.06872651218024481,0.45
