role,comparison,split,scale_seconds,modality,scale_bars,scale_label,metric,n_focus,n_comparator,focus_median,comparator_median,rank_biserial_focus_minus_comparator,p_one_sided,p_fdr_bh,calibration_pass,synthetic_excess,p_fdr_primary_family,selection_score,selected
scale_selection,focus_greater_than_pop,discovery,300.0,rhythm,16,16_bars,h1_surrogate_excess,24,24,0.024811983108520508,0.006113797426223755,0.3784722222222223,0.012635580888435301,0.3517471934985294,True,0.7501190304756165,0.12635580888435302,0.3784722222222223,True
scale_selection,focus_greater_than_pop,discovery,300.0,acoustic,16,16_bars,h1_surrogate_excess,24,24,0.04105067253112793,0.022237956523895264,0.29861111111111116,0.03895190731042558,0.3517471934985294,True,0.7501190304756165,0.12983969103475193,0.29861111111111116,True
scale_selection,focus_greater_than_pop,discovery,300.0,rhythm,8,8_bars,h1_surrogate_excess,24,24,0.028182506561279297,0.006344720721244812,0.29861111111111116,0.03895190731042558,0.3517471934985294,True,0.6159248054027557,0.12983969103475193,0.29861111111111116,False
scale_selection,focus_greater_than_pop,discovery,300.0,rhythm,0,multiscale_mean,h1_surrogate_excess,24,24,0.016494207084178925,0.008403368294239044,0.2743055555555556,0.052762079024779404,0.3517471934985294,True,0.587024662643671,0.13190519756194852,0.2743055555555556,False
scale_selection,focus_greater_than_pop,discovery,300.0,acoustic,4,4_bars,h1_surrogate_excess,24,24,0.03614014387130737,0.023518800735473633,0.16319444444444442,0.1688262678846491,0.5733365949373181,True,0.34164392948150635,0.32250183465224147,0.16319444444444442,False
scale_selection,focus_greater_than_pop,discovery,300.0,rhythm,32,32_bars,h1_surrogate_excess,24,24,0.01633918285369873,0.010771334171295166,0.12847222222222232,0.2258399547779812,0.5733365949373181,True,0.6404108852148056,0.32250183465224147,0.12847222222222232,False
scale_selection,focus_greater_than_pop,discovery,300.0,acoustic,0,multiscale_mean,h1_surrogate_excess,24,24,0.03666146844625473,0.024606823921203613,0.11805555555555558,0.24485870437968643,0.5733365949373181,True,0.587024662643671,0.32250183465224147,0.11805555555555558,False
scale_selection,focus_greater_than_pop,discovery,300.0,rhythm,4,4_bars,h1_surrogate_excess,24,24,0.011707186698913574,0.00527307391166687,0.11111111111111116,0.25800146772179317,0.5733365949373181,True,0.34164392948150635,0.32250183465224147,0.11111111111111116,False
scale_selection,focus_greater_than_pop,discovery,300.0,acoustic,32,32_bars,h1_surrogate_excess,24,24,0.022207528352737427,0.007874220609664917,0.05902777777777768,0.3668438227865982,0.6987501386411394,True,0.6404108852148056,0.4076042475406647,0.05902777777777768,False
scale_selection,focus_greater_than_pop,discovery,300.0,acoustic,8,8_bars,h1_surrogate_excess,24,24,0.03254586458206177,0.04185649752616882,-0.08680555555555558,0.7004868081148492,0.966188700848068,True,0.6159248054027557,0.7004868081148492,0.0,False
