analysis_set,scale_seconds,feature_set,best_c,discovery_cv_macro_f1,n_train,n_validation,balanced_accuracy,macro_f1,auroc,balanced_accuracy_ci_low,balanced_accuracy_ci_high,macro_f1_ci_low,macro_f1_ci_high,auroc_ci_low,auroc_ci_high
primary_validation_180,180.0,Pitch,10.0,0.9743420969313707,390,120,0.9333333333333333,0.9331662489557226,0.9877777777777778,0.8833333333333333,0.975,0.8825174825174825,0.9749847126917689,0.9702708333333333,0.9986111111111111
primary_validation_180,180.0,Phase,1.0,0.7562485658534568,390,120,0.6833333333333333,0.6833333333333333,0.7330555555555556,0.6000000000000001,0.7666666666666666,0.5998805130951899,0.7666018338427341,0.6441458333333333,0.8244652777777778
primary_validation_180,180.0,PitchPhase,10.0,0.9666518968361073,390,120,0.925,0.9245757385292269,0.9816666666666667,0.8833333333333333,0.9666666666666667,0.8817234581807942,0.9666295884315907,0.9591597222222221,0.9972222222222222
same_track_sensitivity_300,300.0,Pitch,0.01,0.9794821195903808,390,120,0.9333333333333333,0.9330357142857143,0.9855555555555555,0.8833333333333333,0.975,0.8817234581807942,0.9749843652282677,0.9674930555555555,0.9975
same_track_sensitivity_300,300.0,Phase,0.1,0.7564352742709511,390,120,0.75,0.7474747474747474,0.7877777777777777,0.6666666666666667,0.825,0.6651785714285714,0.822921790457452,0.6927777777777777,0.8666736111111112
same_track_sensitivity_300,300.0,PitchPhase,10.0,0.98204833141542,390,120,0.95,0.949874686716792,0.9780555555555556,0.9083333333333333,0.9833333333333334,0.9075565515792423,0.9833287024173382,0.9480347222222222,0.9986111111111111
